start_frame,end_frame,direction,0_6,1_5,2_4,3_3
18800,19703,right,19,6,0,0
19704,20966,left,0,0,0,25
20967,22104,right,2,16,2,5
22105,22672,left,0,3,10,12
22673,23621,right,0,2,21,2
23622,24932,left,0,0,25,0
24933,26273,right,0,0,22,3
26274,26672,left,1,24,0,0
26673,26987,right,12,13,0,0
26988,27143,left,0,0,0,25
27144,27770,right,0,0,4,21
27771,28177,left,0,0,25,0
28178,28442,right,0,14,11,0
28443,28827,left,0,0,0,25
28828,30006,right,2,2,12,9
30007,30676,left,0,3,5,17
30677,32111,right,0,19,6,0
32112,33199,left,0,7,13,5
33200,33831,right,0,0,1,24
33832,33990,left,0,2,0,23
33991,35867,right,0,0,0,25
35868,36378,left,0,0,0,25
36379,36919,right,0,0,0,25
36920,36988,left,0,0,11,14
36989,37759,right,1,23,1,0
37760,38396,left,16,4,5,0
38397,39522,right,3,1,13,8
39524,39808,left,0,0,0,25
39809,40190,right,0,0,0,25
40191,40674,left,0,0,9,16
40675,41204,right,0,0,0,25
41205,41605,left,0,0,25,0
41606,42255,right,0,1,9,15
42256,42567,left,0,1,14,10
42568,43524,right,6,1,10,8
43526,44045,left,0,0,25,0
44046,45129,right,0,25,0,0
45130,45587,left,0,25,0,0
45588,47497,right,19,6,0,0
47498,47571,left,0,0,0,25
47572,47695,right,0,0,17,8
47697,48229,left,0,0,0,25
48230,48306,right,0,10,10,5
48307,48446,left,1,0,0,24
48447,48830,right,0,0,0,25
48831,49421,left,25,0,0,0
49422,49954,right,0,0,15,10
49956,50835,left,0,25,0,0
50836,51010,right,0,25,0,0
51011,51346,left,0,0,0,25
51347,52051,right,0,20,5,0
52052,52456,left,2,10,9,4
52457,52513,right,7,16,2,0
52514,53175,left,0,3,21,1
53176,54189,right,8,17,0,0
54190,54814,left,0,0,0,25
54815,56366,right,21,4,0,0
56367,56722,left,13,5,4,3
56723,56806,right,0,0,5,20
56807,57193,left,0,0,21,4
57194,58384,right,0,0,0,25
58385,58625,left,7,18,0,0
58626,59501,right,0,0,0,25
59502,59765,left,0,0,0,25
59766,59955,right,1,18,6,0
59956,60255,left,0,0,6,19
60256,63033,right,0,0,25,0
63034,63332,left,0,21,4,0
63333,63475,right,0,0,7,18
63476,64383,left,1,24,0,0
64384,65740,right,0,15,10,0
65741,66272,left,0,25,0,0
66273,66536,right,2,23,0,0
66537,68158,left,0,12,13,0
68159,69891,right,0,0,0,25
69892,70458,left,0,19,6,0
70459,70574,right,25,0,0,0
