start_frame,end_frame
19204,19703
20467,20966
21605,22104
22173,22672
23122,23621
24433,24932
25774,26273
26173,26672
26488,26987
26644,27143
27271,27770
27678,28177
27943,28442
28328,28827
29507,30006
30177,30676
31612,32111
32700,33199
33332,33831
33491,33990
35368,35867
35879,36378
36420,36919
36489,36988
37260,37759
37897,38396
39023,39522
39309,39808
39691,40190
40175,40674
40705,41204
41106,41605
41756,42255
42068,42567
43025,43524
43546,44045
44630,45129
45088,45587
46998,47497
47072,47571
47196,47695
47730,48229
47807,48306
47947,48446
48331,48830
48922,49421
49455,49954
50336,50835
50511,51010
50847,51346
51552,52051
51957,52456
52014,52513
52676,53175
53690,54189
54315,54814
55867,56366
56223,56722
56307,56806
56694,57193
57885,58384
58126,58625
59002,59501
59266,59765
59456,59955
59756,60255
62534,63033
62833,63332
62976,63475
63884,64383
65241,65740
65773,66272
66037,66536
67659,68158
69392,69891
69959,70458
70075,70574
