start_frame,end_frame,direction,0_6,1_5,2_4,3_3
18800,19703,right,259,341,162,140
19704,20966,left,44,118,406,689
20967,22104,right,196,359,237,289
22105,22672,left,52,117,190,202
22673,23621,right,125,143,157,476
23622,24932,left,59,167,189,892
24933,26273,right,124,346,463,334
26274,26672,left,15,210,91,82
26673,26987,right,12,62,72,169
27144,27770,right,215,194,55,144
27771,28177,left,38,82,94,191
28178,28442,right,27,80,22,80
28443,28827,left,42,60,70,211
28828,30006,right,182,410,217,360
30007,30676,left,33,60,232,344
30677,32111,right,141,267,315,681
32112,33199,left,110,21,135,821
33200,33831,right,240,274,50,48
33991,35867,right,221,227,129,1287
35868,36378,left,1,5,115,390
36379,36919,right,0,103,133,305
36989,37759,right,183,181,103,300
37760,38396,left,73,134,209,218
38397,39522,right,277,252,140,424
39524,39808,left,1,19,93,172
39809,40190,right,72,42,32,234
40191,40674,left,0,29,335,120
40675,41204,right,102,214,110,82
41205,41605,left,0,3,228,170
41606,42255,right,218,190,103,121
42256,42567,left,31,41,82,157
42568,43524,right,160,340,239,192
43526,44045,left,45,149,234,91
44046,45129,right,104,138,186,640
45130,45587,left,37,176,176,57
45588,47497,right,615,733,196,331
47697,48229,left,2,6,36,488
48447,48830,right,58,46,11,266
48831,49421,left,62,93,103,333
49422,49954,right,100,187,129,81
49956,50835,left,84,267,137,389
51011,51346,left,36,51,25,223
51347,52051,right,64,231,290,117
52052,52456,left,87,152,60,105
52514,53175,left,67,247,229,110
53176,54189,right,117,238,122,506
54190,54814,left,81,143,255,143
54815,56366,right,172,209,474,679
56367,56722,left,57,107,71,117
56807,57193,left,38,68,138,138
57194,58384,right,267,299,97,472
58385,58625,left,16,145,4,73
58626,59501,right,70,255,278,192
59502,59765,left,65,10,94,94
59766,59955,right,61,54,65,7
59956,60255,left,13,46,54,185
60256,63033,right,345,386,397,1605
63034,63332,left,55,102,49,87
63476,64383,left,68,325,388,114
64384,65740,right,490,505,231,124
65741,66272,left,57,235,71,168
66273,66536,right,62,101,27,73
66537,68158,left,250,446,327,551
68159,69891,right,200,125,466,933
69892,70458,left,254,71,140,99
