start_frame,end_frame,direction,gk_id,offset_x,offset_y
18800,19806,right,12,0.14228116289411263,0.007197555411202539
19807,21295,left,68,0.011711954110993017,0.044377239473404384
21297,22295,right,213,0.09452271728515627,0.013064041137695326
22296,22911,left,285,-0.03237185981575927,0.013635847597706086
22913,23805,right,433,-0.009360422770182342,-0.01597948201497401
23806,24932,left,496,0.001384409532813366,0.02697524398038953
24933,26273,right,554,0.10795115231677321,-0.02997572267648263
26274,26672,left,657,-0.05812682763136484,-0.16744229279846712
26673,27770,right,685,0.15995220293317514,0.12053916325644842
27771,29062,left,939,-0.060951347351074214,-0.020672607421875044
29063,30235,right,955,0.1845051059137025,-0.1067469608450099
30236,30676,left,1079,0.05280231613847541,-0.025716125488281283
30677,32111,right,1173,0.04398804728190098,-0.03297616831461592
32112,36378,left,1692,0.03901809043876113,0.006155251280902163
36379,37759,right,1724,0.03559766045932111,-0.07899156346814384
37760,38701,left,1873,-0.03263737591013076,-0.02717672535729787
38702,39522,right,2002,0.06421594707782441,-0.08920535513070915
39524,40674,left,2121,-0.021206658468517672,-0.023183098364128685
40675,41204,right,2145,0.1867398829784207,-0.038503452338061295
41205,42567,left,2200,0.027519709148444236,0.00016509908040363008
42568,43524,right,2350,0.1658313169342479,-0.09220620961166459
43526,44264,left,2442,-0.07272444766014814,-0.03932910082075336
44265,45129,right,2598,0.15370389811197904,0.05087940809461805
45130,45734,left,2599,-0.005631006093444052,-0.009723378361882418
45735,47902,right,2659,0.13916624146688372,-0.0841779286958263
47903,51346,left,2853,0.015430484596518586,0.03868057023869004
51347,52513,right,3202,0.11440991099287812,-0.07054277857338509
52514,53299,left,3297,-0.011432251744304255,-0.03255503346660349
53300,54189,right,3363,0.050214586623171464,-0.029086267024912682
54190,54917,left,3433,-0.08334780477797084,-0.007935689559072756
54918,56839,right,3498,0.0887291986701193,-0.0774344888751427
56840,57772,left,3704,-0.187326855747788,0.23367537159389923
57773,58384,right,3741,0.1790931896972655,0.11093410888671879
58385,58949,left,3799,-0.027724246048703785,-0.03736262619018549
58950,59501,right,3876,0.13683401071923407,-0.027406250652085018
59502,60255,left,3903,-0.007638153962414677,0.07913711794458256
60256,63475,right,4121,0.015287430472995855,-0.008513943879500663
63476,64426,left,4318,-0.04700388721817905,-0.027961886423140125
64427,65740,right,4388,0.1491894339767157,-0.10571200900607636
65741,68403,left,4506,-0.05231760453332207,-0.006614346362360579
68404,69891,right,4790,0.06693034984447332,-0.12881270118995947
69892,70574,left,4897,-0.058030999135748246,0.029844741963894583
